DateTime,chl_rfu_monthly_mean,chl_rfu_monthly_median_daily,chl_rfu_monthly_std_of_daily_means,n_days_in_month,year,month,year_month
2014-07-31,4.937554713869581,4.971875,0.9467128594384032,31,2014,7,2014-07
2015-06-30,2.1102546296296296,1.7909722222222222,0.910322669763018,30,2015,6,2015-06
2015-08-31,3.007626780005812,2.979861111111111,0.48722540779391044,31,2015,8,2015-08
2016-06-30,1.1864696657707166,1.1309027777777776,0.32058615292118836,30,2016,6,2016-06
2016-07-31,2.4884175331022838,2.4868055555555553,0.3690032581120461,31,2016,7,2016-07
2016-08-31,3.4074533968903915,3.3666666666666667,0.5889902233068424,31,2016,8,2016-08
2017-06-30,2.1810717407707023,2.139619610281924,0.5173494149942803,30,2017,6,2017-06
2017-07-31,3.1543747944870146,3.4080291970802916,1.1835273402958604,31,2017,7,2017-07
2017-08-31,4.139151986009036,4.315384615384615,0.8257196938149677,31,2017,8,2017-08
2017-09-30,2.669214828911281,2.620486111111111,0.623261888127459,30,2017,9,2017-09
2018-06-30,2.1808978268240873,2.0121527777777777,0.5692365367419228,30,2018,6,2018-06
2018-07-31,3.9453578339971895,3.957638888888889,0.4671982962710243,31,2018,7,2018-07
2018-09-30,2.3645564923560705,2.459375,0.551662085306549,30,2018,9,2018-09
2019-06-30,0.7822099603230147,0.7422886743583706,0.1269293292135933,30,2019,6,2019-06
2019-07-31,1.5291657984951808,1.3250000000000002,0.5518235219785304,31,2019,7,2019-07
2019-08-31,3.309634671401188,3.0256944444444445,0.918990926393242,31,2019,8,2019-08
2019-09-30,4.774664448505975,5.018566666666667,1.3837783302621942,30,2019,9,2019-09
2020-07-31,3.3415098566308243,3.3256944444444443,0.33751446536203555,31,2020,7,2020-07
2020-09-30,5.322811942909413,4.146614583333333,2.14345625931411,30,2020,9,2020-09
2021-07-31,1.39098919426169,1.4625,0.5026663136114905,31,2021,7,2021-07
2021-08-31,1.9102624324429298,1.9236111111111112,0.32321822227810587,31,2021,8,2021-08
2021-09-30,0.9102548219608823,0.8989583333333333,0.6935914975383406,30,2021,9,2021-09
