month_end,AirTemp_C,BarometricPress_kPa,RelativeHum_%,WindSp_km/h,WindDir_Degree,DailyRain_mm,PARAir_umol/s/m2,TempShallow_C,pHShallow,ODOShallow_mg/L,ODOSatShallow_%,SpCondShallow_uS/cm,TurbShallow_NTU+,PARW1_umol/s/m2,PARW2_umol/s/m2,BGPCShallowRFU_RFU,ChlRFUShallow_RFU,year,month,year_month,chl_climatology,chl_monthly_anomaly,chl_trailing_14d_mean,chl_trailing_14d_std,chl_trailing_14d_n,ChlRFUShallow_RFU_lag1,ChlRFUShallow_RFU_lag2,ChlRFUShallow_RFU_lag3,ChlRFUShallow_RFU_lag6,ChlRFUShallow_RFU_lag12
2014-06-30,15.97833892891091,94.92357426327291,76.06421536740169,16.996830170467298,205.60579929769378,3.8093828468840334,177.26944905869325,17.583598387320045,8.598200840946843,8.78892002353267,92.30073331949059,501.42575616002216,5.895073366555925,97.18032945736434,73.97007371262458,2.020219580564784,3.0162012043189366,2014,6,2014-06,1.9116031436770204,1.1045980606419161,3.18928035982009,0.7524985683593797,1334,,,,,
2014-07-31,19.318152990446908,95.50102610981818,71.05270313487354,14.741185974497686,192.65918213682065,0.3933230680609713,223.32130950026286,21.352060457969642,8.997912810473382,10.14747682505861,115.0659456712253,561.2289773515405,10.702693839239016,99.80283232039893,62.21141865186396,8.530422526573474,4.937554713869581,2014,7,2014-07,2.9059667053169083,2.0315880085526725,5.708582089552239,0.9369166319278824,1340,3.0162012043189366,,,,
2014-08-31,19.148505054238804,95.45700038935546,74.94667160289764,13.21227691643364,200.8972338245839,1.52684811827957,159.1440467456549,21.936395644074874,8.550196713625722,8.018603017066352,91.9926065376513,699.3317787896881,7.4579115023936,65.13175505050505,47.23854236529882,6.10105358099204,4.56625556730496,2014,8,2014-08,3.5194129538713623,1.046842613433598,3.2464788732394365,1.1866120819292183,710,4.937554713869581,3.0162012043189366,,,
2014-09-30,13.692645833333334,95.08125,73.95208333333333,13.765416666666663,184.46041666666665,3.960416666666666,124.93333333333332,18.24533333333333,8.357291666666667,7.447458333333333,79.21479166666666,745.4333333333334,5.454166666666667,,,3.2875,1.560625,2014,9,2014-09,3.3526516463425597,-1.7920266463425598,,,0,4.56625556730496,4.937554713869581,3.0162012043189366,,
2015-05-31,13.381163112620523,95.87341841483493,53.229703651786295,12.565783542322986,178.4588607537276,0.05433655082886348,520.5187042243755,15.639655037885023,8.530751089061773,10.238258187127082,103.26579542919505,834.7109192307898,3.501644983998006,166.95796990851852,137.74943544511484,1.5239529037951547,2.3351089697380516,2015,5,2015-05,1.4946299539357821,0.8404790158022695,1.9838987341772154,0.9029524856608447,1975,1.560625,4.56625556730496,4.937554713869581,,
2015-06-30,17.905003472222223,95.3708912037037,61.68587962962963,13.884745370370371,164.49467592592592,0.21131944444444445,506.4865740740741,19.6822337962963,8.690011574074074,10.10605324074074,111.03540509259258,877.6614583333334,9.934495596995596,116.97002314814814,103.0056712962963,4.488020833333334,2.1102546296296296,2015,6,2015-06,1.9116031436770204,0.19865148595260917,2.3814532520325207,1.0376572699659363,1968,2.3351089697380516,1.560625,4.56625556730496,,
2015-07-31,19.944266193036356,95.07779377880185,68.37474398361495,14.558491743471581,156.5037602406554,2.1594166026625707,404.035890296979,22.282821626409987,8.527605456086059,7.320570987654321,85.07314814814815,943.1492410845859,11.289911351274988,76.89186507936509,65.56675627240143,5.525191822066822,2.4603639176915038,2015,7,2015-07,2.9059667053169083,-0.4456027876254045,2.4600394996708363,0.5801074349807188,1519,2.1102546296296296,2.3351089697380516,1.560625,3.0162012043189366,
2015-08-31,18.947976605637898,95.25260159352902,68.8750484355323,12.872947544318512,177.26416739319964,1.3091948803642353,345.0092330233459,20.788730807420322,8.735928266976654,,,952.9481013271336,11.785545020827279,61.5160079434273,43.58209822725952,9.331862104039525,3.007626780005812,2015,8,2015-08,3.5194129538713623,-0.5117861738655503,3.1229662698412697,0.9478843260840986,2016,2.4603639176915038,2.1102546296296296,2.3351089697380516,4.937554713869581,
2015-09-30,13.446465104588817,95.20541769070523,67.80023500541701,14.175481103031693,166.4324555868472,0.7853329436808302,243.84475019957748,16.28253620158396,8.61926719481903,,,927.4829143830673,7.1048693670272005,26.624977506968985,15.687528739968393,7.712120312710004,3.0181713844461373,2015,9,2015-09,3.3526516463425597,-0.33448026189642244,2.6266968325791855,0.18380435111803461,221,3.007626780005812,2.4603639176915038,2.1102546296296296,4.56625556730496,
2016-05-31,15.374766114036742,94.93640411590992,65.37583369222807,14.41030405318196,171.00148841791284,0.5353174603174603,348.84654162052414,15.868078742155777,8.290049257105943,9.622150239940938,97.41324174049464,836.5963916574382,1.7655396363971947,231.6826435031377,191.10107237723517,0.5270383444075304,1.0317852528608342,2016,5,2016-05,1.4946299539357821,-0.4628447010749479,1.0310948081264109,0.3614050284931319,1772,3.0181713844461373,3.007626780005812,2.4603639176915038,1.560625,
